idService,app,time,action
83,3,3300,nop
81,5,3300,nop
79,3,3300,nop
77,2,3300,nop
75,1,3300,nop
73,1,3300,nop
71,2,3300,nop
69,3,3300,nop
67,4,3300,nop
65,5,3300,nop
7,6,3300,nop
6,5,3300,nop
5,4,3300,nop
3,2,3300,nop
2,1,3300,nop
120,1,3500,nop
117,3,3500,nop
115,4,3500,nop
113,6,3500,nop
111,3,3500,nop
109,1,3500,nop
105,2,3500,nop
103,3,3500,nop
101,3,3500,nop
99,1,3500,nop
97,1,3500,nop
95,3,3500,nop
93,3,3500,nop
91,2,3500,nop
89,1,3500,nop
87,1,3500,nop
85,2,3500,nop
83,3,3500,nop
81,5,3500,nop
79,3,3500,nop
77,2,3500,nop
75,1,3500,nop
73,1,3500,nop
71,2,3500,nop
69,3,3500,nop
67,4,3500,nop
65,5,3500,nop
7,6,3500,nop
6,5,3500,nop
5,4,3500,nop
3,2,3500,nop
2,1,3500,nop
120,1,3700,nop
117,3,3700,nop
115,4,3700,nop
113,6,3700,nop
111,3,3700,nop
109,1,3700,nop
105,2,3700,nop
103,3,3700,nop
101,3,3700,nop
99,1,3700,nop
97,1,3700,nop
95,3,3700,nop
93,3,3700,nop
91,2,3700,nop
89,1,3700,nop
87,1,3700,nop
85,2,3700,nop
83,3,3700,nop
81,5,3700,nop
79,3,3700,nop
77,2,3700,nop
75,1,3700,nop
73,1,3700,nop
71,2,3700,nop
69,3,3700,nop
67,4,3700,nop
65,5,3700,nop
7,6,3700,nop
6,5,3700,nop
5,4,3700,nop
3,2,3700,nop
2,1,3700,nop
120,1,3900,nop
117,3,3900,nop
115,4,3900,nop
113,6,3900,nop
111,3,3900,nop
109,1,3900,nop
105,2,3900,nop
103,3,3900,nop
101,3,3900,nop
99,1,3900,nop
97,1,3900,nop
95,3,3900,nop
93,3,3900,nop
91,2,3900,nop
89,1,3900,nop
87,1,3900,nop
85,2,3900,nop
83,3,3900,nop
81,5,3900,nop
79,3,3900,nop
77,2,3900,nop
75,1,3900,nop
73,1,3900,nop
71,2,3900,nop
69,3,3900,nop
67,4,3900,nop
65,5,3900,nop
7,6,3900,nop
6,5,3900,nop
5,4,3900,nop
3,2,3900,nop
2,1,3900,nop
120,1,4100,nop
117,3,4100,nop
115,4,4100,nop
113,6,4100,nop
111,3,4100,nop
109,1,4100,nop
105,2,4100,nop
103,3,4100,nop
101,3,4100,nop
99,1,4100,nop
97,1,4100,nop
95,3,4100,nop
93,3,4100,nop
91,2,4100,nop
89,1,4100,nop
87,1,4100,nop
85,2,4100,nop
83,3,4100,nop
81,5,4100,nop
79,3,4100,nop
77,2,4100,nop
75,1,4100,nop
73,1,4100,nop
71,2,4100,nop
69,3,4100,nop
67,4,4100,nop
65,5,4100,nop
7,6,4100,nop
6,5,4100,nop
5,4,4100,nop
3,2,4100,nop
2,1,4100,nop
120,1,4300,nop
117,3,4300,nop
115,4,4300,nop
113,6,4300,nop
111,3,4300,nop
109,1,4300,nop
105,2,4300,nop
103,3,4300,nop
101,3,4300,nop
99,1,4300,nop
97,1,4300,nop
95,3,4300,nop
93,3,4300,nop
91,2,4300,nop
89,1,4300,nop
87,1,4300,nop
85,2,4300,nop
83,3,4300,nop
81,5,4300,nop
79,3,4300,nop
77,2,4300,nop
75,1,4300,nop
73,1,4300,nop
71,2,4300,nop
69,3,4300,nop
67,4,4300,nop
65,5,4300,nop
7,6,4300,nop
6,5,4300,nop
5,4,4300,nop
3,2,4300,nop
2,1,4300,nop
120,1,4500,nop
117,3,4500,nop
115,4,4500,nop
113,6,4500,nop
111,3,4500,nop
109,1,4500,nop
105,2,4500,nop
103,3,4500,nop
101,3,4500,nop
99,1,4500,nop
97,1,4500,nop
95,3,4500,nop
93,3,4500,nop
91,2,4500,nop
89,1,4500,nop
87,1,4500,nop
85,2,4500,nop
83,3,4500,nop
81,5,4500,nop
79,3,4500,nop
77,2,4500,nop
75,1,4500,nop
73,1,4500,nop
71,2,4500,nop
69,3,4500,nop
67,4,4500,nop
65,5,4500,nop
7,6,4500,nop
6,5,4500,nop
5,4,4500,nop
3,2,4500,nop
2,1,4500,nop
120,1,4700,nop
117,3,4700,nop
115,4,4700,nop
113,6,4700,nop
111,3,4700,nop
109,1,4700,nop
105,2,4700,nop
103,3,4700,nop
101,3,4700,nop
99,1,4700,nop
97,1,4700,nop
95,3,4700,nop
93,3,4700,nop
91,2,4700,nop
89,1,4700,nop
87,1,4700,nop
85,2,4700,nop
83,3,4700,nop
81,5,4700,nop
79,3,4700,nop
77,2,4700,nop
75,1,4700,nop
73,1,4700,nop
71,2,4700,nop
69,3,4700,nop
67,4,4700,nop
65,5,4700,nop
7,6,4700,nop
6,5,4700,nop
5,4,4700,nop
3,2,4700,nop
2,1,4700,nop
120,1,4900,nop
117,3,4900,nop
115,4,4900,nop
113,6,4900,nop
111,3,4900,nop
109,1,4900,nop
105,2,4900,nop
103,3,4900,nop
101,3,4900,nop
99,1,4900,nop
97,1,4900,nop
95,3,4900,nop
93,3,4900,nop
91,2,4900,nop
89,1,4900,nop
87,1,4900,nop
85,2,4900,nop
83,3,4900,nop
81,5,4900,nop
79,3,4900,nop
77,2,4900,nop
75,1,4900,nop
73,1,4900,nop
71,2,4900,nop
69,3,4900,nop
67,4,4900,nop
65,5,4900,nop
7,6,4900,nop
6,5,4900,nop
5,4,4900,nop
3,2,4900,nop
2,1,4900,nop
120,1,5100,nop
117,3,5100,nop
115,4,5100,nop
113,6,5100,nop
111,3,5100,nop
109,1,5100,nop
105,2,5100,nop
103,3,5100,nop
101,3,5100,nop
99,1,5100,nop
97,1,5100,nop
95,3,5100,nop
93,3,5100,nop
91,2,5100,nop
89,1,5100,nop
87,1,5100,nop
85,2,5100,nop
83,3,5100,nop
81,5,5100,nop
79,3,5100,nop
77,2,5100,nop
75,1,5100,nop
73,1,5100,nop
71,2,5100,nop
69,3,5100,nop
67,4,5100,nop
65,5,5100,nop
7,6,5100,nop
6,5,5100,nop
5,4,5100,nop
3,2,5100,nop
2,1,5100,nop
120,1,5300,nop
117,3,5300,nop
115,4,5300,nop
113,6,5300,nop
111,3,5300,nop
109,1,5300,nop
105,2,5300,nop
103,3,5300,nop
101,3,5300,nop
99,1,5300,nop
97,1,5300,nop
95,3,5300,nop
93,3,5300,nop
91,2,5300,nop
89,1,5300,nop
87,1,5300,nop
85,2,5300,nop
83,3,5300,nop
81,5,5300,nop
79,3,5300,nop
77,2,5300,nop
75,1,5300,nop
73,1,5300,nop
71,2,5300,nop
69,3,5300,nop
67,4,5300,nop
65,5,5300,nop
7,6,5300,nop
6,5,5300,nop
5,4,5300,nop
3,2,5300,nop
2,1,5300,nop
120,1,5500,nop
117,3,5500,nop
115,4,5500,nop
113,6,5500,nop
111,3,5500,nop
109,1,5500,nop
105,2,5500,nop
103,3,5500,nop
101,3,5500,nop
99,1,5500,nop
97,1,5500,nop
95,3,5500,nop
93,3,5500,nop
91,2,5500,nop
89,1,5500,nop
87,1,5500,nop
85,2,5500,nop
83,3,5500,nop
81,5,5500,nop
79,3,5500,nop
77,2,5500,nop
75,1,5500,nop
73,1,5500,nop
71,2,5500,nop
69,3,5500,nop
67,4,5500,nop
65,5,5500,nop
7,6,5500,nop
6,5,5500,nop
5,4,5500,nop
3,2,5500,nop
2,1,5500,nop
120,1,5700,nop
117,3,5700,nop
115,4,5700,nop
113,6,5700,nop
111,3,5700,nop
109,1,5700,nop
105,2,5700,nop
103,3,5700,nop
101,3,5700,nop
99,1,5700,nop
97,1,5700,nop
95,3,5700,nop
93,3,5700,nop
91,2,5700,nop
89,1,5700,nop
87,1,5700,nop
85,2,5700,nop
83,3,5700,nop
81,5,5700,nop
79,3,5700,nop
77,2,5700,nop
75,1,5700,nop
73,1,5700,nop
71,2,5700,nop
69,3,5700,nop
67,4,5700,nop
65,5,5700,nop
7,6,5700,nop
6,5,5700,nop
5,4,5700,nop
3,2,5700,nop
2,1,5700,nop
120,1,5900,nop
117,3,5900,nop
115,4,5900,nop
113,6,5900,nop
111,3,5900,nop
109,1,5900,nop
105,2,5900,nop
103,3,5900,nop
101,3,5900,nop
99,1,5900,nop
97,1,5900,nop
95,3,5900,nop
93,3,5900,nop
91,2,5900,nop
89,1,5900,nop
87,1,5900,nop
85,2,5900,nop
83,3,5900,nop
81,5,5900,nop
79,3,5900,nop
77,2,5900,nop
75,1,5900,nop
73,1,5900,nop
71,2,5900,nop
69,3,5900,nop
67,4,5900,nop
65,5,5900,nop
7,6,5900,nop
6,5,5900,nop
5,4,5900,nop
3,2,5900,nop
2,1,5900,nop
120,1,6100,nop
117,3,6100,nop
115,4,6100,nop
113,6,6100,nop
111,3,6100,nop
109,1,6100,nop
105,2,6100,nop
103,3,6100,nop
101,3,6100,replicate
99,1,6100,nop
97,1,6100,nop
95,3,6100,nop
93,3,6100,nop
91,2,6100,nop
89,1,6100,nop
87,1,6100,nop
85,2,6100,nop
83,3,6100,nop
81,5,6100,nop
79,3,6100,nop
77,2,6100,nop
75,1,6100,nop
73,1,6100,nop
71,2,6100,nop
69,3,6100,nop
67,4,6100,nop
65,5,6100,nop
7,6,6100,nop
6,5,6100,nop
5,4,6100,nop
3,2,6100,nop
2,1,6100,nop
122,3,6300,nop
120,1,6300,nop
117,3,6300,nop
115,4,6300,nop
113,6,6300,nop
111,3,6300,nop
109,1,6300,nop
105,2,6300,nop
103,3,6300,nop
101,3,6300,nop
99,1,6300,nop
97,1,6300,nop
95,3,6300,nop
93,3,6300,nop
91,2,6300,nop
89,1,6300,nop
87,1,6300,nop
85,2,6300,nop
83,3,6300,nop
81,5,6300,nop
79,3,6300,nop
77,2,6300,nop
75,1,6300,nop
73,1,6300,nop
71,2,6300,nop
69,3,6300,undeploy
67,4,6300,nop
65,5,6300,nop
7,6,6300,nop
6,5,6300,nop
5,4,6300,nop
3,2,6300,nop
2,1,6300,nop
122,3,6500,nop
120,1,6500,nop
117,3,6500,nop
115,4,6500,nop
113,6,6500,nop
111,3,6500,nop
109,1,6500,nop
105,2,6500,nop
103,3,6500,nop
101,3,6500,nop
99,1,6500,nop
97,1,6500,nop
95,3,6500,nop
93,3,6500,nop
91,2,6500,nop
89,1,6500,nop
87,1,6500,nop
85,2,6500,nop
83,3,6500,nop
81,5,6500,nop
79,3,6500,nop
77,2,6500,nop
75,1,6500,nop
73,1,6500,nop
71,2,6500,nop
67,4,6500,nop
65,5,6500,nop
7,6,6500,nop
6,5,6500,nop
5,4,6500,nop
3,2,6500,nop
2,1,6500,nop
122,3,6700,nop
120,1,6700,nop
117,3,6700,nop
115,4,6700,nop
113,6,6700,nop
111,3,6700,nop
109,1,6700,nop
105,2,6700,nop
103,3,6700,nop
101,3,6700,nop
99,1,6700,nop
97,1,6700,nop
95,3,6700,nop
93,3,6700,nop
91,2,6700,nop
89,1,6700,nop
87,1,6700,nop
85,2,6700,nop
83,3,6700,nop
81,5,6700,nop
79,3,6700,nop
77,2,6700,nop
75,1,6700,nop
73,1,6700,nop
71,2,6700,nop
67,4,6700,nop
65,5,6700,nop
7,6,6700,nop
6,5,6700,nop
5,4,6700,nop
3,2,6700,nop
2,1,6700,nop
122,3,6900,nop
