time,app,des,tr,ltr,suc
3300,3,79,5,5,1.000000
3500,1,2,5,5,1.000000
3500,1,97,5,5,1.000000
3500,6,7,16,40,0.400000
3500,2,3,5,5,1.000000
3500,3,95,20,5,4.000000
3500,4,67,15,40,0.375000
3500,5,81,40,40,1.000000
3500,2,71,5,5,1.000000
3500,3,117,5,5,1.000000
3500,1,109,5,5,1.000000
3500,3,111,5,5,1.000000
3500,1,120,5,5,1.000000
3500,3,79,5,5,1.000000
3500,3,83,5,5,1.000000
3500,6,113,25,40,0.625000
3500,1,99,5,5,1.000000
3500,2,77,5,5,1.000000
3500,2,85,5,5,1.000000
3500,3,101,5,5,1.000000
3500,3,93,5,5,1.000000
3500,4,5,10,40,0.250000
3500,5,65,20,40,0.500000
3500,1,87,5,5,1.000000
3500,2,91,5,5,1.000000
3500,2,105,5,5,1.000000
3500,3,103,5,5,1.000000
3500,5,6,35,40,0.875000
3500,3,69,5,5,1.000000
3500,4,115,20,40,0.500000
3500,1,89,5,5,1.000000
3500,1,73,5,5,1.000000
3500,1,75,5,5,1.000000
3700,3,69,5,5,1.000000
3700,3,95,20,5,4.000000
3700,1,75,5,5,1.000000
3700,2,71,5,5,1.000000
3700,3,117,5,5,1.000000
3700,3,79,5,5,1.000000
3700,3,103,5,5,1.000000
3700,5,81,40,40,1.000000
3700,1,99,5,5,1.000000
3700,2,3,5,5,1.000000
3700,1,109,5,5,1.000000
3700,3,101,5,5,1.000000
3700,4,67,15,40,0.375000
3700,5,65,20,40,0.500000
3700,3,83,5,5,1.000000
3700,1,73,5,5,1.000000
3700,2,85,5,5,1.000000
3700,6,7,16,40,0.400000
3700,2,91,5,5,1.000000
3700,4,115,20,40,0.500000
3700,5,6,35,40,0.875000
3700,1,87,5,5,1.000000
3700,2,77,5,5,1.000000
3700,6,113,25,40,0.625000
3700,3,111,5,5,1.000000
3700,1,89,5,5,1.000000
3700,1,120,5,5,1.000000
3700,1,2,5,5,1.000000
3700,4,5,10,40,0.250000
3700,2,105,5,5,1.000000
3700,3,93,5,5,1.000000
3700,1,97,5,5,1.000000
3900,1,97,5,5,1.000000
3900,1,109,5,5,1.000000
3900,1,120,5,5,1.000000
3900,1,73,5,5,1.000000
3900,2,105,5,5,1.000000
3900,2,71,5,5,1.000000
3900,3,79,5,5,1.000000
3900,2,85,5,5,1.000000
3900,3,95,20,5,4.000000
3900,3,101,5,5,1.000000
3900,1,99,5,5,1.000000
3900,3,93,5,5,1.000000
3900,3,111,5,5,1.000000
3900,6,113,25,40,0.625000
3900,5,65,20,40,0.500000
3900,5,6,35,40,0.875000
3900,3,117,5,5,1.000000
3900,1,2,5,5,1.000000
3900,6,7,16,40,0.400000
3900,2,91,5,5,1.000000
3900,4,5,10,40,0.250000
3900,3,103,5,5,1.000000
3900,4,115,20,40,0.500000
3900,3,83,5,5,1.000000
3900,1,75,5,5,1.000000
3900,1,89,5,5,1.000000
3900,2,3,5,5,1.000000
3900,1,87,5,5,1.000000
3900,5,81,40,40,1.000000
3900,4,67,15,40,0.375000
3900,2,77,5,5,1.000000
3900,3,69,5,5,1.000000
4100,1,97,5,5,1.000000
4100,5,81,40,40,1.000000
4100,2,105,5,5,1.000000
4100,4,5,10,40,0.250000
4100,3,93,5,5,1.000000
4100,3,117,5,5,1.000000
4100,1,73,5,5,1.000000
4100,5,65,20,40,0.500000
4100,3,69,5,5,1.000000
4100,1,87,5,5,1.000000
4100,2,85,5,5,1.000000
4100,1,99,5,5,1.000000
4100,1,2,5,5,1.000000
4100,2,71,5,5,1.000000
4100,2,3,5,5,1.000000
4100,6,7,16,40,0.400000
4100,1,109,5,5,1.000000
4100,3,95,20,5,4.000000
4100,3,111,5,5,1.000000
4100,3,83,5,5,1.000000
4100,3,101,5,5,1.000000
4100,2,91,5,5,1.000000
4100,5,6,35,40,0.875000
4100,6,113,25,40,0.625000
4100,1,120,5,5,1.000000
4100,2,77,5,5,1.000000
4100,4,115,20,40,0.500000
4100,3,79,5,5,1.000000
4100,1,89,5,5,1.000000
4100,1,75,5,5,1.000000
4100,3,103,5,5,1.000000
4100,4,67,15,40,0.375000
4300,1,2,5,5,1.000000
4300,3,111,5,5,1.000000
4300,3,117,5,5,1.000000
4300,6,113,25,40,0.625000
4300,3,95,20,5,4.000000
4300,1,120,5,5,1.000000
4300,5,65,20,40,0.500000
4300,3,83,5,5,1.000000
4300,6,7,16,40,0.400000
4300,4,67,15,40,0.375000
4300,1,89,5,5,1.000000
4300,1,99,5,5,1.000000
4300,3,103,5,5,1.000000
4300,1,97,5,5,1.000000
4300,2,3,5,5,1.000000
4300,5,81,40,40,1.000000
4300,5,6,35,40,0.875000
4300,3,101,5,5,1.000000
4300,3,79,5,5,1.000000
4300,1,109,5,5,1.000000
4300,2,85,5,5,1.000000
4300,4,115,20,40,0.500000
4300,2,105,5,5,1.000000
4300,2,91,5,5,1.000000
4300,1,75,5,5,1.000000
4300,3,93,5,5,1.000000
4300,2,71,5,5,1.000000
4300,1,73,5,5,1.000000
4300,4,5,10,40,0.250000
4300,3,69,5,5,1.000000
4300,1,87,5,5,1.000000
4300,2,77,5,5,1.000000
4500,1,99,5,5,1.000000
4500,1,73,5,5,1.000000
4500,4,115,20,40,0.500000
4500,2,71,5,5,1.000000
4500,2,3,5,5,1.000000
4500,3,93,5,5,1.000000
4500,2,91,5,5,1.000000
4500,3,83,5,5,1.000000
4500,2,77,5,5,1.000000
4500,1,87,5,5,1.000000
4500,3,95,20,5,4.000000
4500,1,97,5,5,1.000000
4500,4,5,10,40,0.250000
4500,6,7,16,40,0.400000
4500,5,81,40,40,1.000000
4500,4,67,15,40,0.375000
4500,3,79,5,5,1.000000
4500,2,85,5,5,1.000000
4500,3,103,5,5,1.000000
4500,3,117,5,5,1.000000
4500,1,89,5,5,1.000000
4500,5,65,20,40,0.500000
4500,6,113,25,40,0.625000
4500,3,111,5,5,1.000000
4500,1,2,5,5,1.000000
4500,3,101,5,5,1.000000
4500,1,109,5,5,1.000000
4500,2,105,5,5,1.000000
4500,1,120,5,5,1.000000
4500,3,69,5,5,1.000000
4500,5,6,35,40,0.875000
4500,1,75,5,5,1.000000
4700,1,120,5,5,1.000000
4700,3,69,5,5,1.000000
4700,2,71,5,5,1.000000
4700,1,97,5,5,1.000000
4700,2,105,5,5,1.000000
4700,5,65,20,40,0.500000
4700,4,115,20,40,0.500000
4700,6,7,16,40,0.400000
4700,3,93,5,5,1.000000
4700,1,109,5,5,1.000000
4700,4,5,10,40,0.250000
4700,5,81,40,40,1.000000
4700,2,77,5,5,1.000000
4700,3,117,5,5,1.000000
4700,3,95,20,5,4.000000
4700,3,101,5,5,1.000000
4700,1,89,5,5,1.000000
4700,2,91,5,5,1.000000
4700,5,6,35,40,0.875000
4700,2,3,5,5,1.000000
4700,3,83,5,5,1.000000
4700,1,2,5,5,1.000000
4700,1,87,5,5,1.000000
4700,6,113,25,40,0.625000
4700,1,75,5,5,1.000000
4700,3,111,5,5,1.000000
4700,1,73,5,5,1.000000
4700,2,85,5,5,1.000000
4700,3,79,5,5,1.000000
4700,3,103,5,5,1.000000
4700,1,99,5,5,1.000000
4700,4,67,15,40,0.375000
4900,2,85,5,5,1.000000
4900,1,73,5,5,1.000000
4900,3,95,20,5,4.000000
4900,1,2,5,5,1.000000
4900,5,81,40,40,1.000000
4900,1,99,5,5,1.000000
4900,4,115,20,40,0.500000
4900,4,67,15,40,0.375000
4900,6,113,25,40,0.625000
4900,4,5,10,40,0.250000
4900,3,101,5,5,1.000000
4900,1,89,5,5,1.000000
4900,1,87,5,5,1.000000
4900,3,83,5,5,1.000000
4900,3,69,5,5,1.000000
4900,2,105,5,5,1.000000
4900,3,103,5,5,1.000000
4900,2,77,5,5,1.000000
4900,3,111,5,5,1.000000
4900,2,91,5,5,1.000000
4900,1,75,5,5,1.000000
4900,1,97,5,5,1.000000
4900,3,93,5,5,1.000000
4900,5,65,20,40,0.500000
4900,3,79,5,5,1.000000
4900,5,6,35,40,0.875000
4900,3,117,5,5,1.000000
4900,1,120,5,5,1.000000
4900,2,3,5,5,1.000000
4900,1,109,5,5,1.000000
4900,2,71,5,5,1.000000
4900,6,7,16,40,0.400000
5100,3,93,5,5,1.000000
5100,4,115,20,40,0.500000
5100,2,77,5,5,1.000000
5100,2,105,5,5,1.000000
5100,2,91,5,5,1.000000
5100,3,101,5,5,1.000000
5100,1,87,5,5,1.000000
5100,1,73,5,5,1.000000
5100,3,83,5,5,1.000000
5100,4,5,10,40,0.250000
5100,1,75,5,5,1.000000
5100,5,81,40,40,1.000000
5100,5,65,20,40,0.500000
5100,2,71,5,5,1.000000
5100,6,7,16,40,0.400000
5100,1,99,5,5,1.000000
5100,2,3,5,5,1.000000
5100,3,103,5,5,1.000000
5100,3,79,5,5,1.000000
5100,1,120,5,5,1.000000
5100,3,69,5,5,1.000000
5100,3,111,5,5,1.000000
5100,6,113,25,40,0.625000
5100,1,97,5,5,1.000000
5100,4,67,15,40,0.375000
5100,1,2,5,5,1.000000
5100,3,95,20,5,4.000000
5100,1,89,5,5,1.000000
5100,3,117,5,5,1.000000
5100,2,85,5,5,1.000000
5100,5,6,35,40,0.875000
5100,1,109,5,5,1.000000
5300,2,77,5,5,1.000000
5300,3,117,5,5,1.000000
5300,6,113,25,40,0.625000
5300,2,85,5,5,1.000000
5300,3,69,5,5,1.000000
5300,3,111,5,5,1.000000
5300,1,99,5,5,1.000000
5300,1,87,5,5,1.000000
5300,4,115,20,40,0.500000
5300,1,97,5,5,1.000000
5300,2,91,5,5,1.000000
5300,2,3,5,5,1.000000
5300,4,5,10,40,0.250000
5300,3,95,20,5,4.000000
5300,1,109,5,5,1.000000
5300,2,71,5,5,1.000000
5300,1,2,5,5,1.000000
5300,1,73,5,5,1.000000
5300,5,81,40,40,1.000000
5300,3,79,5,5,1.000000
5300,5,6,35,40,0.875000
5300,1,89,5,5,1.000000
5300,5,65,20,40,0.500000
5300,3,101,5,5,1.000000
5300,3,93,5,5,1.000000
5300,4,67,15,40,0.375000
5300,6,7,16,40,0.400000
5300,3,83,5,5,1.000000
5300,2,105,5,5,1.000000
5300,3,103,5,5,1.000000
5300,1,120,5,5,1.000000
5300,1,75,5,5,1.000000
5500,3,83,5,5,1.000000
5500,4,5,10,40,0.250000
5500,2,3,5,5,1.000000
5500,1,2,5,5,1.000000
5500,3,101,5,5,1.000000
5500,3,117,5,5,1.000000
5500,6,7,16,40,0.400000
5500,3,69,5,5,1.000000
5500,6,113,25,40,0.625000
5500,1,97,5,5,1.000000
5500,1,75,5,5,1.000000
5500,2,77,5,5,1.000000
5500,3,111,5,5,1.000000
5500,5,6,35,40,0.875000
5500,5,65,20,40,0.500000
5500,1,99,5,5,1.000000
5500,2,85,5,5,1.000000
5500,3,79,5,5,1.000000
5500,1,87,5,5,1.000000
5500,3,95,20,5,4.000000
5500,3,93,5,5,1.000000
5500,2,91,5,5,1.000000
5500,2,105,5,5,1.000000
5500,4,115,20,40,0.500000
5500,1,73,5,5,1.000000
5500,1,120,5,5,1.000000
5500,3,103,5,5,1.000000
5500,1,109,5,5,1.000000
5500,1,89,5,5,1.000000
5500,4,67,15,40,0.375000
5500,2,71,5,5,1.000000
5500,5,81,40,40,1.000000
5700,3,117,5,5,1.000000
5700,1,75,5,5,1.000000
5700,4,115,20,40,0.500000
5700,2,91,5,5,1.000000
5700,3,103,5,5,1.000000
5700,1,99,5,5,1.000000
5700,6,113,25,40,0.625000
5700,5,81,40,40,1.000000
5700,4,67,15,40,0.375000
5700,3,69,5,5,1.000000
5700,5,65,20,40,0.500000
5700,3,111,5,5,1.000000
5700,1,97,5,5,1.000000
5700,2,77,5,5,1.000000
5700,1,109,5,5,1.000000
5700,3,79,5,5,1.000000
5700,1,2,5,5,1.000000
5700,3,101,5,5,1.000000
5700,2,105,5,5,1.000000
5700,2,85,5,5,1.000000
5700,1,120,5,5,1.000000
5700,3,95,20,5,4.000000
5700,6,7,16,40,0.400000
5700,4,5,10,40,0.250000
5700,2,71,5,5,1.000000
5700,1,89,5,5,1.000000
5700,3,83,5,5,1.000000
5700,1,87,5,5,1.000000
5700,3,93,5,5,1.000000
5700,2,3,5,5,1.000000
5700,1,73,5,5,1.000000
5700,5,6,35,40,0.875000
5900,1,75,5,5,1.000000
5900,2,3,5,5,1.000000
5900,1,2,5,5,1.000000
5900,1,120,5,5,1.000000
5900,3,111,5,5,1.000000
5900,3,101,5,5,1.000000
5900,3,83,5,5,1.000000
5900,1,87,5,5,1.000000
5900,6,113,25,40,0.625000
5900,1,97,5,5,1.000000
5900,2,77,5,5,1.000000
5900,1,109,5,5,1.000000
5900,2,105,5,5,1.000000
5900,1,99,5,5,1.000000
5900,5,65,20,40,0.500000
5900,1,73,5,5,1.000000
5900,3,117,5,5,1.000000
5900,2,85,5,5,1.000000
5900,6,7,16,40,0.400000
5900,4,115,20,40,0.500000
5900,4,67,15,40,0.375000
5900,3,93,5,5,1.000000
5900,3,95,20,5,4.000000
5900,3,79,5,5,1.000000
5900,1,89,5,5,1.000000
5900,3,69,5,5,1.000000
5900,5,6,35,40,0.875000
5900,3,103,5,5,1.000000
5900,2,71,5,5,1.000000
5900,2,91,5,5,1.000000
5900,4,5,10,40,0.250000
5900,5,81,40,40,1.000000
6100,5,81,40,40,1.000000
6100,3,93,5,5,1.000000
6100,3,111,5,5,1.000000
6100,2,77,5,5,1.000000
6100,1,99,5,5,1.000000
6100,3,117,5,5,1.000000
6100,4,5,10,40,0.250000
6100,2,71,5,5,1.000000
6100,3,103,5,5,1.000000
6100,3,69,2,5,0.400000
6100,2,105,5,5,1.000000
