time,undeploy,nop,migrate,replicate,none
40500,0,19,0,0,0
40700,0,19,0,0,0
40900,0,19,0,0,0
41100,0,19,0,0,0
41300,0,19,0,0,0
41500,0,19,0,0,0
41700,0,19,0,0,0
41900,0,19,0,0,0
42100,0,19,0,0,0
42300,0,19,0,0,0
42500,0,19,0,0,0
42700,0,19,0,0,0
42900,0,19,0,0,0
43100,0,19,0,0,0
43300,0,19,0,0,0
43500,0,19,0,0,0
43700,0,19,0,0,0
43900,0,19,0,0,0
44100,0,19,0,0,0
44300,0,19,0,0,0
44500,0,19,0,0,0
44700,0,19,0,0,0
44900,0,19,0,0,0
45100,0,19,0,0,0
45300,0,19,0,0,0
45500,0,19,0,0,0
45700,0,19,0,0,0
45900,0,19,0,0,0
46100,0,17,0,2,0
46300,2,17,2,0,0
46500,0,19,0,0,0
46700,0,19,0,0,0
46900,0,19,0,0,0
47100,0,19,0,0,0
47300,0,19,0,0,0
47500,0,19,0,0,0
47700,0,19,0,0,0
47900,0,19,0,0,0
48100,0,18,0,1,0
48300,1,18,1,0,0
48500,0,19,0,0,0
48700,0,19,0,0,0
48900,0,19,0,0,0
49100,0,19,0,0,0
49300,0,19,0,0,0
49500,0,19,0,0,0
49700,0,19,0,0,0
49900,0,19,0,0,0
50100,0,18,0,1,0
50300,0,19,1,0,0
50500,0,20,0,0,0
50700,0,20,0,0,0
50900,0,20,0,0,0
51100,0,20,0,0,0
51300,0,20,0,0,0
51500,0,20,0,0,0
51700,0,20,0,0,0
51900,0,20,0,0,0
