,CodeRoute,Latitude,Longitude,Altitude,Date,Speed,TimeDifference,Distance,FileName,CumTimeDiff,VideoFrame
3170,taxi_365,41.87788518784594,12.523822338755624,0.0,"1805   2014-02-01 00:12:28+00:00
Name: Date, dtype: datetime64[ns, UTC]",4.77127549589937e-08,8,4.007871416555471e-07,,738,88
3171,taxi_365,41.877885187845756,12.523822338760445,0.0,"1805   2014-02-01 00:12:36+00:00
Name: Date, dtype: datetime64[ns, UTC]",4.77127549589937e-08,8,4.007871416555471e-07,,746,89
3172,taxi_365,41.8778851878457,12.5238223387623,0.0,2014-02-01 00:12:40+00:00,4.77127549589937e-08,20,9.54255099179874e-07,,750,90
3173,taxi_365,41.877907364818704,12.5238525984864,0.0,2014-02-01 00:12:50+00:00,0.3519244568272909,10,3.519244568272909,,760,91
3174,taxi_365,41.87792899502737,12.523937340305977,0.0,"1807   2014-02-01 00:12:58+00:00
Name: Date, dtype: datetime64[ns, UTC]",0.8849147971926464,8,7.43328429641823,,768,92
3175,taxi_365,41.877958750407295,12.524054666431699,0.0,2014-02-01 00:13:10+00:00,0.8849147971926463,20,17.698295943852926,,780,93
3176,taxi_365,41.877510524589646,12.524930663680907,0.0,"1808   2014-02-01 00:13:18+00:00
Name: Date, dtype: datetime64[ns, UTC]",10.491141668996118,8,88.1255900195674,,788,94
3177,taxi_365,41.8774263452763,12.525099079261198,0.0,2014-02-01 00:13:20+00:00,10.491141668996118,10,104.91141668996117,,790,95
3178,taxi_365,41.87774602401619,12.525583672994781,0.0,"1809   2014-02-01 00:13:28+00:00
Name: Date, dtype: datetime64[ns, UTC]",6.387505480461685,8,53.65504603587815,,798,96
3179,taxi_365,41.878185790423395,12.5262546036182,0.0,2014-02-01 00:13:40+00:00,6.387505480461684,20,127.75010960923368,,810,97
3180,taxi_365,41.8790548723483,12.5274172184147,0.0,2014-02-01 00:13:51+00:00,12.413438583133575,11,136.54782441446932,,821,98
3181,taxi_365,41.879165441195944,12.527544206412081,0.0,"1811   2014-02-01 00:13:59+00:00
Name: Date, dtype: datetime64[ns, UTC]",1.926711589530693,8,16.184377352057822,,829,99
3182,taxi_365,41.879304410501796,12.5277048828841,0.0,2014-02-01 00:14:10+00:00,1.926711589530693,19,36.60752020108317,,840,100
3183,taxi_234,41.897783275213,12.469331206656301,0.0,2014-02-01 00:00:10+00:00,0.0,0,0.0,,0,0
3184,taxi_234,41.897783275213,12.469331206656301,0.0,"1813   2014-02-01 00:00:18+00:00
Name: Date, dtype: datetime64[ns, UTC]",0.0,8,0.0,,8,1
3185,taxi_234,41.897783275213,12.469331206656301,0.0,2014-02-01 00:00:21+00:00,0.0,11,0.0,,11,2
3186,taxi_234,41.897783275213,12.469331206656301,0.0,"1814   2014-02-01 00:00:29+00:00
Name: Date, dtype: datetime64[ns, UTC]",0.0,8,0.0,,19,3
3187,taxi_234,41.897783275213,12.469331206656301,0.0,2014-02-01 00:00:41+00:00,0.0,20,0.0,,31,4
3188,taxi_234,41.8977470950241,12.469314031386599,0.0,2014-02-01 00:00:51+00:00,0.4271597220891234,10,4.271597220891234,,41,5
3189,taxi_234,41.89774709502419,12.469314031386723,0.0,"1816   2014-02-01 00:00:59+00:00
Name: Date, dtype: datetime64[ns, UTC]",1.6392387769528198e-09,8,1.3785998114173215e-08,,49,6
3190,taxi_234,41.89774709502426,12.469314031386848,0.0,"1816   2014-02-01 00:01:07+00:00
Name: Date, dtype: datetime64[ns, UTC]",1.6392387769528198e-09,8,1.3785998114173215e-08,,57,7
3191,taxi_234,41.89774709502429,12.469314031386899,0.0,2014-02-01 00:01:11+00:00,1.6392387769528198e-09,20,3.2784775539056396e-08,,61,8
3192,taxi_234,41.897718642144,12.469862143771902,0.0,2014-02-01 00:01:20+00:00,5.058504974009769,9,45.52654476608792,,70,9
3193,taxi_234,41.897612756095704,12.470222454798,0.0,2014-02-01 00:01:21+00:00,32.09781390451902,1,32.09781390451902,,71,9
3194,taxi_234,41.89740272779495,12.470876306835939,0.0,"1819   2014-02-01 00:01:29+00:00
Name: Date, dtype: datetime64[ns, UTC]",7.0227476454881375,8,59.06130769855524,,79,10
3195,taxi_234,41.8971144030017,12.4717797144264,0.0,2014-02-01 00:01:41+00:00,7.022747645488138,20,140.45495290976277,,91,11
3196,taxi_234,41.89697946334838,12.472319090561678,0.0,"1820   2014-02-01 00:01:49+00:00
Name: Date, dtype: datetime64[ns, UTC]",5.612652202885529,8,47.20240502626729,,99,12
3197,taxi_234,41.89695431100821,12.472422024663802,0.0,2014-02-01 00:01:51+00:00,5.612652202885529,10,56.126522028855284,,101,13
3198,taxi_234,41.896925941841644,12.472520101726502,0.0,"1821   2014-02-01 00:01:59+00:00
Name: Date, dtype: datetime64[ns, UTC]",1.037756405205856,8,8.72753136778125,,109,14
