taxi id,date time,latitude,longitude
357,2014-02-01 00:00:20,41.8355646058252,12.4721527618107
281,2014-02-01 00:00:21,41.8965482794286,12.4822388991087
341,2014-02-01 00:00:21,41.9110568385551,12.4759366815692
234,2014-02-01 00:00:21,41.897783275213,12.4693312066563
257,2014-02-01 00:00:20,41.9233601620156,12.4881576445332
224,2014-02-01 00:00:20,41.96574508,12.45579244
37,2014-02-01 00:00:21,41.8978418925033,12.4684204086267
361,2014-02-01 00:00:21,41.9234351813793,12.4855416454375
178,2014-02-01 00:00:21,41.9219959240361,12.4828460642701
365,2014-02-01 00:00:20,41.8948047415524,12.476465931979
61,2014-02-01 00:00:20,41.9003116666667,12.4727383333333
248,2014-02-01 00:00:21,41.8959019919821,12.4768818873779
228,2014-02-01 00:00:21,41.8972219549272,12.4727742184704
94,2014-02-01 00:00:21,41.9284612332732,12.4798311855679
